,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,$p13$,$l13$,$r13$,$\gamma13$,$l14$,$p14$
1,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,0.7430057266238076,1.061649950058472,-0.7430057266238076,0.3659825947660783,1.0982482095350798,0.7499317289492948
2,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,0.3103056330390686,1.3523558291752058,0.7945145105677534
3,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
4,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.6357533375478005,0.9782465474864427,0.7267601545181426
5,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,0.6357533375478005,1.1092227582903882,0.751984181165449
6,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,0.7430057266238076,1.061649950058472,0.2569942733761924,-1.5849431579974214,0.9031556342587298,0.7115975545024212
7,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,0.2636011938096454,-1.027334496728439,-0.2636011938096454,-0.8439522076231205,-1.111729717490751,0.24754855640590148
8,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,-1.5849431579974214,0.8871531087358661,0.7083023249583722
9,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,0.645069567000363,0.5974363599034889,-0.645069567000363,0.6357533375478005,0.661011693658269,0.6594876147674751
10,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,0.7894021117266881,1.3213252658712988,0.21059788827331194,-1.5849431579974214,1.1628309500715566,0.7618467326024158
12,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,0.7399382097017709,1.0456474245356082,0.26006179029822907,-1.5849431579974214,0.8871531087358661,0.7083023249583722
13,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,0.6581353921082581,0.6549958979188354,-0.6581353921082581,-1.5849431579974214,0.49650158211909323,0.6216368384845538
14,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,0.7865673513042185,1.304357032922855,0.2134326486957815,0.01911517368982732,1.3062685502918379,0.7868880794357624
15,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,0.7139550857101393,0.9146712137316626,0.2860449142898607,0.6357533375478005,0.9782465474864427,0.7267601545181426
