,Causality,ANOVA-F,Mutual_info,Kendall,Outlier,Bias,Variance,Distribution
L_T1,-0.021460016870921833,33.436581809931816,0.01792953311400125,0.03449731438058211,0.0001330937645571305,0.06786427145708583,0.010024395653138169,0.07892939787199704
L_T2,-0.051019751236694305,2.5454174983721205,0.009932636665510808,0.008692175643229688,0.0,0.059880239520958084,0.01918385451319583,0.07235791604164021
L_T3,0.007000651086539047,0.0018815248639784902,0.031133334167804172,0.0003009237960875374,0.0,0.05766245287203371,0.0038367709026391663,0.06430555083046252
L_T4,-0.016532674308336937,9.801531377889136,0.03658852018818659,-0.02022750307937237,0.0,0.06187624750499002,0.004701707695719672,0.045632915248999706
L_T5,0.015597787097895832,0.07641410203006344,0.025525768345389332,-0.0018340722375966784,0.0,0.06098913284542027,0.003104901308494123,0.05556322860146479
L_T6,0.04354942572237519,0.4607977983578455,0.027503751404380772,-0.004384723872923885,0.0,0.05322687957418496,0.0001774229319139499,0.288848415434948
L_T7,-0.0061804703476155964,0.08474750494771954,0.019584739280184893,0.0035548411219575374,0.0,0.06320691949434465,0.006098913284542027,0.06062138575488063
F_PU1,0.01402868032159077,31.969130240131136,0.0,-0.02528583888909003,0.0,0.07673541805278332,0.03198048347748946,0.2912015272453112
S_PU1,-1.8790624827257967,158.89898370311911,0.004612029588036748,-0.10229841547401668,0.0,0.05832778886671102,0.0,0.5096282020297986
F_PU2,0.0037163736094462663,9.645317988593469,0.0,-0.028304543172310355,0.0,0.0718562874251497,0.026280771789753826,0.393100755356474
S_PU2,-0.5559141998427535,7.68964528608098,0.0014530070430873732,-0.022616990087600205,0.0,0.06342869815923709,0.0,0.4571684929969868
F_PU3,-0.003583672544476002,1000.0251606386357,0.012835436973009706,0.2507504084837654,0.003992812936713915,0.05677533821246396,0.0,0.5211300033935211
S_PU3,1.0523413293306838,1010.2111788768299,0.011697511039115538,0.2509971227740965,0.003992812936713915,0.05766245287203371,0.0,0.5212494462181786
F_PU4,-0.010446872447438721,7.304704080131249e-07,0.0,0.00798853332250561,0.0,0.06542470614326902,0.01614548680416944,0.38130504415872385
S_PU4,0.36819585249527625,0.052646233976099965,0.0,-0.0018718698688552843,0.0,0.056553559547571526,0.0,0.3816229978164316
