,Causality,ANOVA-F,Mutual_info,Kendall,Outlier,Bias,Variance,Distribution
L_T1,-0.01569864841581034,305.2481643899772,0.027314999368056148,0.07588953008090014,0.011874469889737066,0.06936290497934333,0.01304631441617743,0.06108892799088117
L_T2,-0.04506437176307193,193.6734530953775,0.02507721153373943,0.05250654500151301,0.01252691329027207,0.0776255707762557,0.017764731463361598,0.06858593979396221
L_T3,-0.003929832306397443,159.4052531259047,0.04154287049052896,0.04493126012916529,0.012787890650486071,0.07392911502500543,0.007284192215699065,0.04639758682812345
L_T4,-0.012482917115647738,98.27417265052433,0.0497179668013652,0.026311886433951426,0.013309845370914073,0.06871058925853446,0.007175472928897586,0.03668780783409564
L_T5,0.00388667359219496,151.367510639516,0.036229081967494414,0.043002241657003906,0.012396424610165067,0.07175472928897586,0.008588823657316808,0.047147700039215534
L_T6,0.04887087525055364,173.22556590252773,0.03753758104347593,0.047949873831114806,0.013114112350753573,0.06827571211132855,0.004631441617742988,0.25598038613566726
L_T7,-0.0038247699542743735,162.6927359234244,0.032724852519257164,0.04790629439317175,0.01089580478893456,0.07436399217221135,0.0106544901065449,0.05789109279181992
F_PU1,-0.022445615431689436,56.657340527402866,0.008791017510385135,0.02169687923319624,0.01102629346904156,0.09197651663405088,0.03892150467492933,0.29481182836520525
S_PU1,1.9620199120269037,3.2205985730465234,0.015855249735731825,0.2060595346300539,0.012396424610165067,0.07240704500978473,0.0031311154598825833,0.49585885786041184
F_PU2,0.0012629300422908295,96.6344092227125,0.01158942616521852,0.02067848861297496,0.013048868010700071,0.07566862361382909,0.02767993041965645,0.3598879479947056
S_PU2,-0.3766065289872209,99.14072865170928,0.010949874357152778,0.04885925967961226,0.011874469889737066,0.06718851924331376,0.004131332898456186,0.42192169722448836
F_PU3,-0.012444971712874037,1613.7290483947722,0.023226828213441575,0.3029929010785281,0.016572062373589092,0.06566644922809306,0.0033268101761252445,0.5240122831760579
S_PU3,1.8012577313069116,1632.98017464007,0.0242928658989654,0.3032364004289774,0.01631108501337509,0.06414437921287236,0.0031963470319634705,0.5241494379931877
F_PU4,0.0017035838561945058,152.91438898027542,0.011947745310974422,0.06125979141174384,0.01246166895021857,0.07936507936507936,0.02046096977603827,0.3650498516724954
S_PU4,0.08760821598448452,152.60547581099271,0.010901579742777612,0.06094771170891112,0.013048868010700071,0.06740595781691672,0.0033050663187649486,0.36507233719587656
F_PU5,-1.037406271997554e-12,,8.188930212638112e-05,,0.0,0.07088497499456403,0.0,
S_PU5,-2.2737367544323206e-13,,0.0,,0.0,0.06479669493368123,0.0,
F_PU6,0.08563386695703601,1792.1906652171326,0.02586483025024866,0.31523311005083265,0.019181835975729106,0.05892585344640139,0.0036094803218090893,0.5282577869684985
S_PU6,-3.142680652527989,1630.0161767834354,0.024801951450754256,0.3148311740752183,0.019377568995889608,0.06262230919765166,0.004087845183735595,0.5285077107163978
F_PU7,-0.018051419985297912,43.02446115810678,0.0322541861667307,0.02401294273895281,0.012200691590004567,0.06566644922809306,0.012720156555772993,0.40954268076930556
S_PU7,1.1073469220050214,71.80668607093361,0.015180628777907268,0.049128370760013404,0.012070202909897566,0.06523157208088715,0.0034137856055664276,0.4743934549919032
F_PU8,0.0019978650309333476,160.52665769102052,0.01478981044813743,0.056151201107116605,0.01089580478893456,0.07414655359860839,0.014090019569471623,0.3226228162415896
S_PU8,0.07357626908886447,164.15961057596806,0.016047797350486892,0.06496256895025695,0.012918379330593071,0.07327679930419656,0.00319634703196347,0.3553700741014569
F_PU9,6.821210263296962e-13,,0.005092025542173362,,0.0,0.07023265927375516,0.0,
S_PU9,-2.2737367544323206e-13,,0.0007992547685495843,,0.0,0.0669710806697108,0.0,
F_PU10,0.00735064982278287,122.84639167027582,0.02711602141435998,0.03697406477614343,0.012983623670646571,0.06370950206566645,0.01767775603392042,0.38615958035210407
S_PU10,-0.1937817290682206,128.94228853669816,0.015518749712210678,0.0671221818848864,0.012918379330593071,0.06936290497934333,0.0029789084583605133,0.46082372473272226
F_PU11,0.09100924874951506,948.3175084991104,0.01858700883047426,0.26509109066834774,0.015593397272786585,0.06305718634485757,0.004327027614698848,0.5206353674754309
S_PU11,-1.3083773712314404,924.2289075469068,0.018563001830391945,0.2648878988874199,0.014810465192144582,0.06523157208088715,0.003544248749728202,0.5205078984031299
F_V2,-0.000922818742271389,205.50367053885776,0.03132734076268329,0.05967214401396979,0.011287270829255562,0.09067188519243313,0.029375951293759518,0.1985897262067955
S_V2,0.16865062004787773,213.53714566073978,0.01553639454017608,0.08690057516332761,0.012135447249951067,0.06784083496412263,0.0027179821700369644,0.42322679195488255
P_J280,6.830205695343155,253.0402577371188,0.06565679837401661,0.10398862213409699,0.011743981209630064,0.06805827353772559,0.0020874103065883893,0.25445298308983305
P_J269,-0.014606148247341966,205.58267039603217,0.014521167575237692,0.06229028389863032,0.012853134990539571,0.07784300934985866,0.028180039138943253,0.27413834258150904
P_J300,-0.02014468052249896,267.3109169892125,0.0114124572970431,0.06780692960683504,0.01259215763032557,0.07893020221787345,0.03252881061100239,0.09279737654409506
P_J256,-0.004216888545400421,149.8548522111607,0.004118837549530463,0.03918216508077989,0.012200691590004567,0.0867579908675799,0.04335725157642965,0.1938896976971196
P_J289,0.056909310787148115,273.1413710972769,0.009386224019584777,0.06812438428887324,0.012918379330593071,0.08436616655794738,0.028332246140465322,0.09448057444329333
P_J415,-0.003101228147944113,175.18787220589346,0.015620701288954653,0.040851661802168024,0.01259215763032557,0.07023265927375516,0.024874972820178302,0.3228362883056111
P_J302,0.003309720596838872,240.51490283877354,0.014140318855146106,0.05692806635530538,0.013309845370914073,0.07958251793868232,0.036160034790171776,0.13588747105367804
P_J306,-0.003946831532211148,166.06170476277074,0.001587945586456918,0.04698985321841907,0.012070202909897566,0.076103500761035,0.036160034790171776,0.2598186416956122
P_J307,0.0008392523345897018,235.75557818380724,0.01158170048262841,0.057025668621480355,0.013179356690807073,0.08741030658838878,0.03972602739726027,0.13748274264863347
P_J317,-0.0006973044971196884,203.1984031024419,0.01072094752726871,0.050835691732594786,0.012331180270111567,0.08436616655794738,0.03861709067188519,0.15904172039662132
P_J14,0.0150417819227186,208.6561765592476,0.02178740417997327,0.04811223846716856,0.012135447249951067,0.07719069362904979,0.03261578604044357,0.19674010450050916
P_J422,0.01092067748469816,264.05747066460725,0.017849416572931265,0.06760346139306678,0.012396424610165067,0.0776255707762557,0.02815829528158295,0.10142680790271719
