,Causality,ANOVA-F,Mutual_info,Chi2,Kendall,Outlier,Bias,Variance,Distribution
service_type,-0.5644435571944078,,0.6943212951832454,207982.2201737236,,,0.40524061626316105,0.0005204925346499316,
complaint_level,0.008520212937768612,,0.01631846956416716,8419.826414493795,,,0.5471417524240081,0.00495657605139492,
contract_type,-0.05776353436339443,,0.4874321820160388,412688.09646431496,,,0.39549997025756944,0.0009681161144488727,
gender,-0.14370803971414947,,0.03697374719181967,466.1249906873338,,,0.5430670394384629,0.0,
is_mix_service,-0.7319139843440148,,0.06064182289512532,29491.273849482208,,,0.5206412468026888,0.0,
is_promise_low_consume,0.4345780664690939,,0.04904743372595499,15917.58201990425,,,0.5296978169055975,0.0,
many_over_bill,-0.5875453587097597,,0.3945612585860796,70055.77620419471,,,0.4493486407709238,0.0,
net_service,-0.08440183990932049,,0.029693061908648843,127.0509167671517,,,0.5445244185354827,0.00039854856938909044,
1_total_fee,0.006531912736280621,25346.59673475767,0.8757442310188286,,0.0690102659076603,0.019197394543710545,0.34353994408423055,0.08064362619713283,0.19678163566081064
2_total_fee,0.002481917991991267,21705.867611797697,0.8132616036211684,,0.08031991001313678,0.019777376251979745,0.36482065314377493,0.08673041460948189,0.1891982656038932
3_total_fee,0.0025540703204152138,23636.52460422643,0.9018320023873561,,0.05943054982650189,0.01783666822815588,0.3360002379394444,0.08416512997442152,0.18306407392717405
4_total_fee,0.0024928571549747147,21565.43194394301,0.7932054949456357,,0.0719814103820752,0.019054629815521203,0.3855362560228422,0.10302777943013502,0.18167618575759592
age,-0.014929352351131353,3723.18397601663,0.19362092051333413,,-0.07764198435891269,0.006651944054072141,0.5348729998215455,0.01016744988400452,0.10477770698032046
contract_time,0.005314347190603197,29845.94213212741,0.5300260856512318,,-0.1273461602608876,0.0024760757545338953,0.3827999524121111,0.0019867943608351674,0.3787700264854587
former_complaint_fee,-5.703881811314204e-12,1.498096851055658,0.01071628932346691,,-0.015829714350811364,0.0025385353231167323,0.5463981916602225,0.006761941585866397,0.5018124548153171
former_complaint_num,-0.006620721062952306,499.12760738040805,0.01616779240660593,,0.009132861917436919,0.02228022039304914,0.5497442150972578,0.0010647790137410028,0.513652519942337
last_month_traffic,0.00011541315913810024,7653.411933676612,0.546586312431931,,-0.061545338538573774,0.0260634856900667,0.3818630658497412,0.039178216643864144,0.3584799537727009
local_caller_time,1.9098743562651066e-05,3451.506885657905,0.1341974823227332,,0.03312270748198377,0.018862789712016773,0.5640800666230444,0.1692299684730236,0.31441240922617353
local_trafffic_month,-9.553306596465916e-06,4231.963393824299,0.2530032932229438,,0.0643309827291696,0.022788819737223673,0.5878591398489085,0.18358961394325143,0.28721668710434967
month_traffic,-4.1473953126036633e-05,4857.551336211889,0.5318028369542973,,-0.026341743338527977,0.015552432577126414,0.45749806674201415,0.13300517518291596,0.33723972753918996
online_time,0.0016319945260083735,19293.714787470493,0.5263684580164587,,-0.058939897797295304,0.021972383947890875,0.42446909761465706,0.028227053714829576,0.2606017217218366
pay_num,0.0002709675640502063,3132.2494040163315,0.3820415170353555,,0.04997012461256869,0.009712462914631154,0.4809797156623639,0.03563291892213432,0.297279915208188
pay_times,-0.03531294024979781,460.24038334415593,0.023574031339261392,,0.02460944167961728,0.012514220705346985,0.5488668133959907,0.00012194396526084113,0.27433730205925044
service1_caller_time,-0.0027036521845427153,171.56026239411185,0.1607778674260154,,-0.0033131613360487455,0.021173793749581744,0.5824162750579978,0.11286806257807389,0.339303814537014
service2_caller_time,0.003364269611997095,12581.032651649422,0.5646786139333639,,0.0448960832322074,0.016145798478663365,0.4602046279221938,0.19918357028136335,0.27971594616347983
