,Causality,ANOVA-F,Mutual_info,Chi2,Pearson,Spearman,Kendall,Outlier,Bias,Variance,Distribution
service_type,-0.6094093028314829,999999.0,0.6954038683462991,208386.09259202547,0.19977687097998367,-0.026710034671497147,-0.023734915670007125,0.0,0.44934689252057736,1.3420016700465226e-05,0.0
complaint_level,0.08797201820267375,579.2222667391616,0.013043340213943821,7381.656674022312,0.04297305363745234,0.017227383596215316,0.015190928444853233,0.01909682614238744,0.5557825360849338,0.0,0.0
contract_type,-0.05518750408923756,11914.907318821408,0.5310002180209428,475191.93037183606,-0.06075393422783744,-0.19730018310671427,-0.1606103937854973,0.036350622917086045,0.40801324108314446,5.964451866873435e-06,0.0
gender,-0.15145922138697987,159.38298234076197,0.03337527311306232,302.47888748422895,-0.040584399910905705,-0.04953356327175496,-0.0442047933184247,0.0,0.5566026482166289,0.009411905045926278,0.0
is_mix_service,-0.7107386058234071,3445.900348355115,0.05938922750269082,28255.54635400432,0.0004524411578133191,-0.050274692223268365,-0.04469248546094981,0.053667046903308056,0.5383066921149946,0.0,0.0
is_promise_low_consume,0.4783268903482689,1909.2579935648168,0.0483788632376938,16539.555269165845,0.09096971200085852,0.029995951740046572,0.026665377305063322,0.05977320002684024,0.5470595252296314,0.0,0.0
many_over_bill,-0.5825913400790661,44394.536758286966,0.4053445672070546,70985.56673439343,-0.10388999883939222,0.03631799991164323,0.032285462351784665,0.0,0.482375044733389,0.0,0.0
net_service,-0.08650657907122783,578.3397475363902,0.028659296607763896,130.72952465143075,0.02450084768050083,0.061535787029100716,0.05419087841494674,0.0003712898968887696,0.5573780269593225,0.0045553501133245855,0.0
1_total_fee,0.00646424000745105,43717.89523868288,0.9993182101976876,0.0,0.40515361093140734,0.28645678971777505,0.16813085312610002,0.0177011339998658,0.33251819157819396,0.07611535249910532,0.1945325569410684
2_total_fee,0.0025033930971618545,34421.7493653373,0.8668258230323382,0.0,0.3837623490662033,0.2817499942497849,0.1691195816907053,0.017996376568476146,0.37168972921388527,0.08507395920314924,0.18700961412534645
3_total_fee,0.0026661034314336973,37361.448971894206,0.9733113848732733,0.0,0.3728493688050063,0.2575042709830388,0.14741202776369353,0.016207027667807378,0.3350083502326136,0.07678486222116188,0.18066352719830714
4_total_fee,0.0025126574928324708,32514.910738823466,0.8285547595321345,0.0,0.3774655307716465,0.26674573710684424,0.15735041891215887,0.017258270146950278,0.3943397351783371,0.10076046761302636,0.17964877852343342
age,-0.01315269590995749,3792.0746901697194,0.18738742205502668,0.0,-0.014086841775500106,-0.06423754591291879,-0.03997978850926787,0.005457514147039746,0.5499075509960635,0.02874567577239652,0.1030614066798134
contract_time,0.008058126378720942,31513.734934809392,0.5516341110056873,0.0,0.10583368590808301,-0.10840033978362444,-0.10191535214803081,6.262721152340693e-05,0.4016014553262555,0.00099009900990099,0.3806677784173488
former_complaint_fee,-1.2789769243681803e-13,0.12684160550631143,0.00934741815604001,0.0,-0.0005859189704046031,-0.016006814300250388,-0.014183613532612813,4.473372251671923e-06,0.5590778957413813,0.007009722056543004,0.5008099893496045
former_complaint_num,-0.04384432788025672,437.32622530168925,0.012882427154823795,0.0,0.03984902261948274,0.017108828286514537,0.01509995673737035,0.022340021024849582,0.5591673625193845,0.00041900274364785876,0.514485276068458
last_month_traffic,0.00014133356773227135,7722.480148814544,0.5028640543899536,0.0,0.15447921509354476,-0.019290359450589746,-0.03286517296362496,0.023793867006642957,0.4077597518788023,0.03986788739114875,0.359236877722762
local_caller_time,-4.013087506349322e-05,3412.540537363127,0.13532584064182718,0.0,0.18500592873473207,0.09541007111423871,0.06512191948482325,0.017070388512380057,0.5801920553501133,0.1721907431707026,0.3151519273030433
local_trafffic_month,-7.893833137373463e-06,4588.994607762678,0.26100999591847485,0.0,-0.05759453219845417,0.07732404560208267,0.038844479589858774,0.021396139479746806,0.6065549326016939,0.18994840749135153,0.2875471817378743
month_traffic,-3.6931559375563694e-05,5866.417337691174,0.5447269746206005,0.0,0.17896867488865098,0.1391937370376598,0.07461311502639935,0.013442483616274129,0.4783192174639151,0.13772515805797447,0.33836234882545074
online_time,0.002229976072156248,19966.349194939674,0.523933935941356,0.0,0.16051694995614085,0.04212872641233336,0.03419965484773728,0.020018340826231856,0.4665990695455088,0.05920613145651914,0.26138810976381455
pay_num,0.0003227269087933138,3528.622344371421,0.39594295786792166,0.0,0.1809284642358825,0.1749362315435754,0.12281993254089159,0.00730501688698025,0.5014016461887153,0.05347131098652034,0.2977542717830224
pay_times,-0.029243119000687212,601.6741674418217,0.026201112972485507,0.0,0.07263589486398922,0.06540612258831711,0.05304003239996972,0.011232637723948198,0.5577358940713348,9.244900393653824e-05,0.2746873810904331
service1_caller_time,-0.002546833970277884,429.1455144698816,0.1753568532224965,0.0,0.05439755652362353,-0.014657506408766077,-0.011588571278929304,0.019324968127222706,0.5890045329834188,0.0610536204222832,0.340462222327856
service2_caller_time,0.003444301211549039,11631.336156023108,0.5497782980353483,0.0,0.28469674038475823,0.1814999653721767,0.11977854031833704,0.014153749804289965,0.4982553978289395,0.21774424430394845,0.27994266852687427
